tam_motor,cilindrada,consumo_combustible,emision_CO2
3.6,6,14,283
2.7,4,12.5,274
3,6,10.2,245
5.3,8,16.2,341
5.3,8,21.5,321
5.3,8,15.1,314
5.3,8,14.4,305
2.7,4,13.9,306
2.7,4,14.7,328
3,6,10.5,265
3,6,11.8,298
5.3,8,16.5,347
5.3,8,22,326
5.3,8,17.4,380
5.3,8,23.1,358
5.3,8,15.6,327
5.3,8,16.9,359
5.3,8,14.9,318
5.3,8,16.8,347
5.3,8,15.4,329
5.3,8,16.1,338
5.3,8,16.6,360
5.3,8,18.1,381
6.2,8,15.7,329
6.2,8,16.6,345
6.2,8,16.5,352
6.2,8,18.2,385
1.5,4,9.2,202
1.5,4,9.6,212
3,6,11.2,272
5.3,8,15.8,327
5.3,8,16,332
3,6,11.7,281
5.3,8,15.8,327
5.3,8,17,354
6.2,8,16.3,345
6.2,8,17,353
3,6,11.2,272
5.3,8,15.8,327
5.3,8,16,332
3,6,11.7,281
5.3,8,15.9,336
5.3,8,17,354
6.2,8,16.3,345
6.2,8,17,353
1.5,4,7.8,168
1.5,4,8.1,176
2,4,10.4,211
2,4,5,117
2,4,5.3,129
1.5,4,7.7,166
1.5,4,8.5,175
2,4,8,167
2,4,9.1,186
1.5,4,7.6,162
2,4,7.7,162
2,4,7.8,165
1.5,4,8.7,180
1.5,4,8.3,180
1.5,4,8.7,189
1.8,4,8.4,181
1.8,4,8.8,193
1.8,4,9.1,200
3.5,6,12.2,248
3.5,6,12.5,265
3.5,6,12.4,256
3.5,6,12.3,260
3.5,6,12.8,271
1.6,4,8.4,179
2,4,7.6,158
2,4,7.1,151
2,4,9.1,185
2,4,12.1,241
2,4,10.9,223
1.6,4,4.5,103
1.6,4,4.3,99
1.6,4,4,94
2,4,8,174
2,4,11.8,246
1.6,4,8.8,193
2,4,8.5,187
3.8,6,12.3,265
2.5,4,12.1,250
2.5,4,11,233
2.5,4,10.6,235
1.6,4,7.1,176
1.6,4,8.8,183
2.5,4,10.1,208
2.5,4,8.8,182
2,4,5.3,117
2.5,4,9.1,194
2.5,4,9.9,214
1.6,4,6.3,152
2,4,12,248
2,4,10.6,226
1.6,4,7.9,176
1.6,4,8.6,184
3,6,12.5,254
3,6,12.5,261
3,6,12.3,252
3,6,12.5,259
2,4,10.8,228
2,4,10.5,223
3.5,6,11.9,253
5.6,8,17.5,355
2,4,11.5,247
2,4,11.2,245
5,8,14.1,286
5,8,15.2,299
5,8,14.1,286
5,8,15.2,299
5,8,15.2,299
5,8,15.2,299
2,4,10.4,214
2.4,4,10.8,219
3.2,6,11.9,240
2,4,11.2,229
2.4,4,11.2,230
3.2,6,12.2,249
3.2,6,12.9,268
2.4,4,10.6,218
2.4,4,10.8,222
3,6,10.8,263
3,6,11,271
3.6,6,13.7,290
3.6,6,14.3,296
3.6,6,12.3,256
5.7,8,16.7,331
3.6,6,13,266
5.7,8,16.7,331
3.6,6,12.7,265
6.4,8,18.6,374
1.3,4,9.8,204
1.3,4,10.1,222
1.3,4,10.8,231
5.7,8,15.6,323
2,4,10.7,241
3.6,6,12.8,274
3.6,6,12,258
3.6,6,13.7,277
2,4,11.5,251
3,6,10.6,255
3,6,11.2,275
3.6,6,12.9,275
3.6,6,12.3,262
3.6,6,13.8,285
6.4,8,18.5,387
3.5,6,12,252
1.6,4,8.7,184
2,4,7.9,165
2,4,8.8,178
1.6,4,8.9,190
2,4,8,169
2.5,4,9.9,207
1.6,4,9.2,195
1.6,4,4.4,110
1.6,4,4.4,110
1.6,4,5,124
1.6,4,7.2,159
1.6,4,7.7,166
2,4,8.2,182
1.6,4,9.4,205
2,4,8.8,195
2.5,4,10.9,234
2.5,4,10.1,227
1.6,4,6.4,157
2,4,8.5,187
2.4,4,10.1,214
2,4,12.1,261
2.4,4,10.8,238
3.3,6,13.7,280
3.8,6,12.7,266
6.5,12,26.5,489
6.5,12,26.8,498
6.5,12,26.8,498
5.2,10,18,371
5.2,10,18,370
5.2,10,18,371
5.2,10,18,370
4,8,19.2,384
2,4,13.2,289
3,6,13.5,287
5,8,15.8,339
2,4,14.2,306
3,6,13.5,287
5,8,16.4,350
2,4,12.2,271
3,6,12.8,270
3,6,13.3,279
3,6,13.3,279
5,8,14.4,305
5,8,14.4,305
5,8,17.1,354
5,8,17.9,365
3,6,12.7,269
3,6,12.7,269
5,8,14.1,294
5,8,16.2,336
2.5,4,9.5,195
2.5,4,5.5,124
3.5,6,10.7,214
3.5,6,10.9,219
4.6,8,16.2,337
2,4,11,221
3.5,6,12.2,253
3.5,6,12.2,253
5,8,14.1,280
5,8,15.1,294
5,8,16,304
3.5,6,9,189
3.4,6,13.8,270
3.5,6,10.1,216
3.4,6,14.2,298
2.5,4,9.4,198
2.4,4,10.5,221
2.4,4,10.5,222
2.5,4,5.7,140
3.5,6,12.2,253
3.5,6,12.2,253
5,8,14.4,285
3.5,6,12.2,252
3.5,6,13.1,268
3.5,6,7.5,185
3.5,6,8.1,190
2,4,8,168
2,4,5.7,140
3,6,13.7,280
2,4,11.1,229
2.3,4,11.2,232
2,4,11.8,252
2,4,11.8,251
2.7,6,12.6,262
3.5,6,15.2,311
3,6,13.4,271
3,6,13.4,271
3,6,14.8,293
3.8,8,17.4,348
3,6,15.1,308
3,6,15.1,308
3.8,8,17.4,349
3.8,8,17.4,349
3,6,15.4,295
3,6,14.4,281
3,6,14.4,281
3,6,14.8,293
3.8,8,17.4,348
2,4,8.3,179
2,4,8.8,186
2,4,8.6,189
2,4,9.4,202
2.5,4,9.9,208
2.5,4,10.5,220
2.5,4,10.2,216
2.5,4,9.9,209
2.5,4,10.8,230
2.5,4,11.6,243
2,4,8.4,178
2,4,8.7,180
2.5,4,8.9,183
2.5,4,9.5,199
2.5,4,10.1,207
2,4,8.6,181
2,4,8.7,181
2.5,4,9.1,190
2.5,4,9.6,198
2.5,4,9.5,200
2.5,4,10.1,209
2,4,9,186
2,4,9,189
2,4,9.5,194
2,4,10,202
2,4,10.8,221
2,4,10.8,221
3,6,12.7,256
3,6,12.6,252
2,4,11,227
2,4,12,243
3,6,11.6,241
3,6,11.3,232
3,6,12,247
3,6,11.7,239
2,4,11,230
2,4,12.3,260
2,4,12.7,262
3,6,12.9,264
3,6,14,287
3,6,13.4,283
3,6,13.6,292
3,6,12.3,258
2,4,11,224
2,4,10.7,217
2,4,9.8,200
3,6,11.1,229
2,4,11.2,229
3,6,10.5,218
3,6,11.2,233
3,6,11,225
3,6,11,229
2,4,10.3,210
2,4,10.9,224
2,4,11.5,242
2,4,11.5,237
2,4,12.1,250
3,6,11.4,244
3,6,11.7,247
3,6,12.8,269
4,8,15.2,301
2,4,12.6,267
2,4,12.6,267
2,4,13.3,282
3,6,11.4,231
4,8,14.3,285
1.5,3,8.2,170
1.5,3,8.7,177
1.5,3,8.2,170
1.5,3,8.7,177
1.5,3,8.2,170
1.5,3,8.7,177
1.5,3,10.2,211
2,4,8.5,174
2,4,10.5,211
2,4,8.5,174
2,4,10.5,211
2,4,10.2,207
2,4,8.8,182
2,4,10.1,205
2,4,10.4,212
2,4,9.3,191
2,4,10.5,211
2,4,10.1,210
2,4,9.6,198
2,4,10.4,210
1.5,4,9.6,216
1.2,3,6.6,143
1.2,3,7.1,151
2.5,4,9.7,208
2,4,9.7,206
2,4,10.1,213
2.4,4,10.3,218
2.5,4,9.1,186
2.5,4,9.3,190
5.6,8,17.5,362
3.8,6,12.8,266
3.8,6,13.7,288
1.6,4,7.7,169
3.5,6,11.6,233
3.5,6,12,245
3.5,6,11.6,246
2,4,8.6,188
2,4,10,213
2,4,9,196
1.5,3,7.8,169
2.5,4,9,190
1.5,3,8.4,179
1.5,3,8.4,181
2.5,4,9.2,195
2,4,8,167
2,4,8.2,171
2,4,9.2,185
2,4,9.4,189
1.6,4,7.4,158
1.6,4,8.6,181
2,4,11,233
2,4,11.7,245
2,4,11.2,236
2,4,11.7,245
2.5,4,12.2,255
2.5,4,12.5,263
4,6,12.3,260
4,6,14,284
2,4,11,233
2,4,11.7,245
2,4,11.2,236
2,4,11.7,245
2.5,4,12.2,255
2.5,4,12.5,263
4,6,13,271
4,6,14,286
4,6,12.3,260
4,6,14,284
4,6,13,271
4,6,14,286
3,6,13.1,275
3,6,13.1,275
3,6,13.1,275
3,6,13.1,275
3,6,12.9,274
3,6,12.8,264
3,6,12.9,273
3,6,13.8,275
3,6,13,275
3,6,13.8,275
3,6,12.8,273
3,6,13.8,281
3,6,13.8,289
3,6,13.5,276
3,6,13.8,289
3,6,13.8,278
3,6,13.8,288
3,6,13.8,289
3,6,13.7,288
3,6,14.7,296
4,6,15.6,334
4,6,17,355
4,6,15.7,335
4,6,16.9,354
3,6,13.1,275
3,6,13.1,274
3,6,13.7,278
3,6,13.6,287
3,6,14.7,296
3.7,6,15.2,321
3.7,6,15.6,324
